OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
045d4dbc04bdbcc02e05c0b1661499a4bd8da4b1,0,2,2,10,2,15,8,12,2,7,1,6,3
a510a5f7f1f3fd8ce97d5c8436d33b140259ae1f,0,0,4,5,0,21,4,11,4,11,2,4,3
283a61680a31cccce1a783d2bd98d4230dadbe91,0,0,2,18,2,12,10,4,3,3,2,3,3
9d07b0585cf498aef6c31edd57c9a041469ac66f,0,0,3,5,0,21,12,7,1,3,1,5,1
a440486713ba24e78629465561a98cd1b7d1b154,0,0,5,4,0,12,9,6,4,8,1,6,3
84c5fa0ffbe414e2fc5533fd94c44092b29e2568,0,0,3,10,0,15,7,14,0,2,0,3,1
202f7b20e8a43feae1b7b7cc1306f5d033bec642,1,0,2,6,0,14,10,1,0,5,4,4,6
751422a6a691a15a4f2a8bd6c9222d4c2d4cf454,0,1,2,2,1,15,2,8,4,3,5,1,9
1359a45e1f6e195272048e185817e4f287d3af1e,0,0,5,4,1,11,4,20,0,3,2,0,2
94cd5c07b38b359c54f85c0b1ab014c103a589ab,0,0,1,1,4,17,8,12,4,2,0,3,0
d1fc3acdcc889a3d82e6ce0348690a972e3f06ff,1,0,7,2,0,15,8,5,2,1,1,6,4
fac7798c5af1a1a7fc185fbd419efc4efba06b58,1,0,3,4,3,16,6,10,4,3,0,1,1
583704d99d8aae226f28342de2a9b007ed964ebb,0,0,3,6,0,14,4,7,0,2,5,2,7
0d1f8b49ae61750b0cf7c18d53332534738e2414,0,0,2,3,1,10,14,6,2,5,1,4,1
136ac842d4651c82dfd8752c20bfabf708de6ce6,0,0,8,5,0,14,7,2,1,8,0,1,3
3bb8678857dee439149fb8f6269a269f97c4ce6a,0,0,3,3,1,13,6,13,4,2,1,1,2
4c905636d06664b85b42cc41b25e8336e0d3351c,0,0,1,6,1,16,9,7,1,1,5,2,0
e573410b493e4f09d9087b4658c21a2a186a2300,2,0,3,3,0,21,6,3,5,1,2,1,2
e88d94e612249608429bcc7bc9443e1af45b4ecd,3,0,6,3,0,11,5,7,5,2,2,3,2
1f448d32d2abed082f19a43d8255fbe27edee424,0,0,4,1,0,11,12,9,0,7,0,3,1
319407f03659185264ac86e31b001b4a1aa9be36,0,0,2,3,0,21,7,4,1,7,0,1,2
361b3f0e42781161bd30ff4db9ad4a6d2b8e661d,0,0,5,5,1,13,7,5,0,4,3,3,2
709fb2d67ac59a7e1437e950c76f1c8f8a5e66f6,0,0,4,3,2,15,8,3,1,2,2,2,6
83111cf7edb160f5710c72461fc319dfb6c8ee52,0,0,3,0,5,13,5,9,1,4,2,5,1
a0fdfb1d41fb9bfeafd1ef5467a02bcc13786664,0,0,8,4,1,7,12,3,0,6,5,2,0
bae5b0cc7dbd1403492b5b88ea0024e93f57b666,0,0,0,9,3,7,12,6,1,3,2,1,4
e68737cd94c776b16265eff0cb02b6df1739ee50,0,0,1,4,2,21,7,5,1,1,0,3,3
edb9b8498a65f2ceafcb52524c8dbe30c2d9b729,0,0,1,6,1,12,9,7,1,0,4,2,5
f602f937039e9a5b7e68275c7b1508fe23387d36,1,0,3,1,1,14,6,5,4,9,3,1,0
ff65a6d6de105d26150455abe476394181415d04,0,0,0,5,1,16,3,12,0,3,4,0,4
08d0a91c3e7a143c8880273436ad3c36d44e35aa,0,0,2,6,1,9,6,12,1,9,1,0,0
2b4dffadc78bdf388719c8f11867e1125428c816,0,0,3,4,2,21,4,6,1,5,1,0,0
41e56b408982b7e67060c249754f770f2fe7fc3c,0,0,8,2,3,7,13,6,1,2,1,3,1
c0836fa2217a412b8d628e92a463c41a0438309e,0,0,2,1,1,15,9,7,5,2,0,3,2
c0dad77e73872c146564edeec8b6bb58d4e5536c,0,0,2,4,0,9,4,12,5,3,2,2,4
d727b063471c5269653ae952a7e6a2fbc50f3b02,0,0,5,5,0,7,15,3,4,2,1,5,0
e4c552afe1525479fd0958acc074dbaf7a74384c,0,0,8,3,1,11,9,6,3,2,2,2,0
e52ef671b57badcc887c400e399f62640dcc2e9b,0,0,1,5,0,12,11,9,2,4,0,2,1
ec20a589af7d1d9d81c960a281c6d935b9e1fe23,3,0,3,4,0,10,1,11,5,6,2,1,1
ef2e4bb1c4b0e48f20c48cee198e62462677900e,0,0,2,8,0,12,6,8,2,4,2,1,2
feffb1d54b933f3e80352235787ad70d02d5e283,0,0,2,9,1,7,7,5,2,4,2,8,0
2ded060f64c8fa39cb306c601bdbc9134902ed9b,0,0,0,3,1,18,4,8,2,5,0,1,4
335402a15d5cbb8cfd83797ee1d31dd221e871b7,2,3,1,7,1,7,4,3,1,6,1,5,5
3a4adf0aa76d55ebcda59bb218d03c5344c3475d,0,0,1,7,0,15,2,6,3,5,2,5,0
3c232b16f6943e35c3f02bdec63a7390ef39544f,0,0,6,6,0,13,8,3,0,2,4,3,1
4ac1cced0af86ff23b2bcfc0ea835cf77232afef,0,0,6,1,0,10,9,11,2,1,2,1,3
9ddc0986182b49a3fdb0aac9b3a4e80c09005cc7,1,1,7,5,0,9,5,8,5,2,2,1,0
d807aace9d59dd6b369afdc02fc02e57fcb80aaa,1,0,2,5,0,16,6,5,1,2,2,6,0
0314c4666cb40e1883fde0ee25046ed02c31e679,0,0,4,3,2,12,8,9,2,1,2,2,0
0a007f7f6a965325b12bc46969152bef12ea6c1d,0,0,0,7,1,14,7,9,0,1,5,0,1
4ac788e28a41ffed08d4600e904a332ec185ce9e,0,0,1,3,0,12,3,9,5,0,0,7,5
4ec246e8aaffd80064d9fa89a78f957fd69ff8c5,0,0,3,2,0,18,3,4,1,3,1,5,5
5fb8109725fac4233504c88d176650ad2dcf460f,0,0,1,3,1,13,3,12,1,5,0,4,2
6ec54131fce10a4685cdb7738b21d3d78735b814,0,0,4,2,1,10,12,6,0,7,1,1,1
85a9aa524d41d61f221540759fa3d700d6571b32,0,0,2,1,1,14,10,8,3,4,1,1,0
ae810126dca32ea7697fdbd7c938129be6ff62bf,0,0,8,1,1,13,4,6,4,4,2,0,2
c01bdff78af1adb55d784d7e86b2877eed66cec8,1,0,1,2,0,15,8,9,1,5,0,3,0
ca7befa1ff1d7d32555e8229cc551ef7ef377dbf,0,0,7,2,1,13,7,5,1,0,1,4,4
cc27a703f5e722dc9c7bc5c8ca5e3880c7d1536d,0,0,4,5,0,10,11,6,3,3,1,0,2
d5bec5316babe5d6180a247fe22d50b97ad9f391,0,0,2,4,4,9,9,4,4,1,1,7,0
edfc819686532bbb7de1f9557d9951210a45f35d,0,0,3,7,0,11,12,5,1,2,2,2,0
0c0e95597b4edad9a191ea69386954afb771aacd,0,0,0,6,0,9,4,8,4,8,0,4,1
1ab58a6bdbbf1485cc0457f29d83881bd0bd78e7,0,0,4,5,0,12,4,2,2,10,0,2,3
29c2e190ac4d32f7293d1b4ca2dfe4305f1daab3,0,1,1,4,0,14,8,2,0,2,4,3,5
2e9305ba99a3cf9354833c1c315b36a4041c44ae,0,0,1,2,0,11,6,8,2,4,1,4,5
8d4f82f126ae69a05928487ad0c1d568c8f0cac1,0,0,4,4,0,12,6,6,0,7,1,3,1
8fcd772ecdd33c458693b47e12ff8ae3fb915860,1,0,4,1,0,17,4,3,1,6,2,1,4
b2b93cd73d461cc37cd68974d7ffcbed0a81f679,0,0,3,5,0,16,7,4,1,6,0,0,2
bfe1ad5717303d058895fa6bca844e8ef90fee63,0,0,2,6,1,6,2,9,1,4,3,4,6
d38342e0ff75e65c7ed348b69542825e8e88aa04,0,0,8,3,0,12,4,7,2,4,2,0,2
d67396c4c550689ddcb5bdbbd6192551242984ad,0,1,2,3,0,11,8,7,0,1,2,5,4
