OTU,NEF_AtlasMXB_B01_2025,NEF_AtlasMXB_B02_2025,NEF_AtlasMXB_B03_2025,NEF_AtlasMXB_B04_2025,NEF_AtlasMXB_B05_2025,NEF_AtlasMXB_B06_2025,NEF_AtlasMXB_B07_2025,NEF_AtlasMXB_B08_2025,NEF_AtlasMXB_B09_2025,NEF_AtlasMXB_B10_2025,NEF_AtlasMXB_B11_2025,NEF_AtlasMXB_B12_2025,NEF_AtlasMXB_B13_2025,NEF_AtlasMXB_B14_2025,NEF_AtlasMXB_B15_2025,NEF_AtlasMXB_B16_2025,NEF_AtlasMXB_B17_2025,NEF_AtlasMXB_B18_2025,NEF_AtlasMXB_B19_2025,NEF_AtlasMXB_B20_2025,NEF_AtlasMXB_B21_2025,NEF_AtlasMXB_B22_2025,NEF_AtlasMXB_B23_2025,NEF_AtlasMXB_B24_2025,NEF_AtlasMXB_B33_2025,NEF_AtlasMXB_B34_2025,NEF_AtlasMXB_B35_2025,NEF_AtlasMXB_B39_2025,NEF_AtlasMXB_B40_2025,NEF_AtlasMXB_B41_2025,NEF_AtlasMXB_B42_2025,NEF_AtlasMXB_B43_2025,NEF_AtlasMXB_B44_2025,NEF_AtlasMXB_B45_2025,NEF_AtlasMXB_B46_2025,NEF_AtlasMXB_B47_2025,NEF_AtlasMXB_B48_2025,NEF_AtlasMXB_B49_2025,NEF_AtlasMXB_B50_2025,NEF_AtlasMXB_B51_2025,NEF_AtlasMXB_B52_2025,NEF_AtlasMXB_B53_2025,NEF_AtlasMXB_B54_2025,NEF_AtlasMXB_B55_2025,NEF_AtlasMXB_B56_2025,NEF_AtlasMXB_B57_2025,NEF_AtlasMXB_B58_2025,NEF_AtlasMXB_B59_2025,NEF_AtlasMXB_B60_2025,NEF_AtlasMXB_B61_2025,NEF_AtlasMXB_B62_2025,NEF_AtlasMXB_B63_2025,NEF_AtlasMXB_B64_2025,NEF_AtlasMXB_B65_2025,NEF_AtlasMXB_B66_2025,NEF_AtlasMXB_B67_2025,NEF_AtlasMXB_B68_2025,NEF_AtlasMXB_B69_2025,NEF_AtlasMXB_B70_2025,NEF_AtlasMXB_B71_2025,NEF_AtlasMXB_B72_2025,NEF_AtlasMXB_B73_2025,NEF_AtlasMXB_B74_2025,NEF_AtlasMXB_B75_2025,NEF_AtlasMXB_B76_2025,NEF_AtlasMXB_B77_2025,NEF_AtlasMXB_B78_2025,NEF_AtlasMXB_B79_2025,NEF_AtlasMXB_B80_2025,NEF_AtlasMXB_B81_2025,NEF_AtlasMXB_B82_2025,NEF_AtlasMXB_B83_2025,NEF_AtlasMXB_B84_2025,NEF_AtlasMXB_B85_2025,NEF_AtlasMXB_B86_2025,NEF_AtlasMXB_B87_2025,NEF_AtlasMXB_B88_2025
Gibberella_intricans_1,0,0,0,0,0,0,19,8,16,5,1,28,11,0,0,102,44,0,0,1,319,79,0,0,0,3,831,0,0,0,0,0,0,6,0,0,0,0,263,0,0,0,22967,0,2,0,0,15,0,1166,2141,1319,493,454,1220,1304,3596,195,13570,0,0,1622,5131,3223,1490,6284,763,1515,5807,11092,1834,1066,31466,9309,3274,14549,10777
Aspergillus_1,0,0,0,0,0,0,122,0,0,0,5,9,1,0,43049,359,0,23406,11245,2488,37215,0,0,0,0,0,46,0,0,0,8,0,0,100,0,0,0,0,2712,0,68,13,2,0,0,0,0,3,0,85,364,100,21,3,0,541,77,23,3,0,0,2,5,0,42,7,16,36,5,12,1016,0,13,0,140,3,2
Aspergillus_pseudoglaucus_1,0,0,0,0,0,290,4355,0,0,0,1000,25,0,0,10,51743,0,294,281,0,2622,26,0,3,0,26,1588,0,22,45,0,6,0,140,0,0,0,4,5824,0,1578,1474,0,0,0,0,0,18,0,0,3512,0,35,0,113,3756,2534,1534,0,0,21,1428,19,1,2,120,686,942,12,37,4422,4074,83,0,2793,11,47
Penicillium_1,0,55,38,0,203,65,3838,6,56,80,302,283,310,231,0,0,181,55,102,209,50,132,202,443,330,634,510,129,766,7124,10250,1845,852,452,158,258,1610,3378,10265,1645,1996,6173,45,261,380,1592,297,282,399,416,662,363,693,604,378,412,1198,1252,45,114,1183,208,109,37,63,1535,350,4315,9,19,14203,186,165,2316,671,19,127
Chaetomiaceae_1,0,0,0,0,0,0,625,41,59,108,14,263,278,122,0,0,130,2,6,1,0,1970,4,0,4,41,1875,18,4652,0,3,4,4,63,23,18,85,17,1009,23,0,7,901,158,122,61,43,106,3,373,3223,205,1404,226,61,2046,1923,6276,353,7671,3690,3392,57,105,160,1079,4134,2197,15,346,1035,1097,1583,4286,1820,177,485
Chaetomium_1,0,41,0,30,54,0,0,8,1,12,2,0,0,2,0,3,4,1,1,1,47,40,0,0,0,89,2040,1,0,0,0,9,0,13,0,0,0,0,104,1,319,62,9693,0,2,1,0,3,0,25,4,0,181,63,81,903,1468,132,909,0,7,268,1098,647,856,142,35,236,3344,6205,208,161,6508,6627,2932,9056,1890
Clavulina_floridana_1,0,22992,5002,2220,24251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium_canescens_1,0,0,0,0,0,832,2816,2499,998,1173,6209,2305,723,1097,0,0,40,0,0,3506,0,240,20,10,18,385,334,126,235,9,7,224,333,71,113,55,150,120,260,54,1537,737,10,464,1460,444,1927,315,17,1032,2329,1636,4320,492,87,203,158,1392,13,169,669,342,56,37,127,958,551,148,2,135,1049,319,27,0,258,190,0
Didymellaceae_1,0,14,0,20,0,68,152,1305,114,206,30,205,142,472,3,8,759,2,16,30,165,2200,24,28,46,380,2606,82,742,79,248,287,36,168,64,15,71,22,817,115,480,232,123,346,143,254,25,153,72,344,1270,867,363,136,416,2029,4310,1733,215,552,363,1518,115,452,368,4712,891,923,8,81,744,6497,1467,58,1692,112,81
Inocybe_1,0,0,0,0,0,8270,8736,2139,384,2257,15421,3486,2080,1438,0,0,0,0,0,0,0,23,0,2,5,114,0,29,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
