OTU,NEF_diam_BAF1_2025,NEF_diam_BAF3_2025,NEF_diam_BALBF_2025,NEF_diam_BALTF_2025,NEF_diam_BLATF_2025,NEF_diam_BRI1_2025,NEF_diam_CAM_2025,NEF_diam_Camp1_2025,NEF_diam_Camp2_2025,NEF_diam_CAMPK_2025,NEF_diam_CAY2_2025,NEF_diam_CAY3_2025,NEF_diam_CGBF_2025,NEF_diam_CGTF_2025,NEF_diam_CNBF_2025,NEF_diam_CNTF_2025,NEF_diam_COOTF_2025,NEF_diam_CRLBF_2025,NEF_diam_CRLTF_2025,NEF_diam_CSG1_2025,NEF_diam_CSG2_2025,NEF_diam_CSG3_2025,NEF_diam_FRG_2025,NEF_diam_GALP1_2025,NEF_diam_GALP2_2025,NEF_diam_GALP3_2025,NEF_diam_GALP4_2025,NEF_diam_GALP5_2025,NEF_diam_GALP6_2025,NEF_diam_GALP7_2025,NEF_diam_GALP8_2025,NEF_diam_GM1_2025,NEF_diam_GM2_2025,NEF_diam_GR_2025,NEF_diam_GRS1_2025,NEF_diam_GRS2_2025,NEF_diam_GRS3_2025,NEF_diam_GRS4_2025,NEF_diam_GRS5_2025,NEF_diam_GRS6_2025,NEF_diam_GRS7_2025,NEF_diam_GRS8_2025,NEF_diam_GUY_2025,NEF_diam_KAPBF_2025,NEF_diam_KAPTF_2025,NEF_diam_KAR1_2025,NEF_diam_KAR2_2025,NEF_diam_KOT1_2025,NEF_diam_KOT10_2025,NEF_diam_KOT2_2025,NEF_diam_KOT3_2025,NEF_diam_KOT5_2025,NEF_diam_KOT6_2025,NEF_diam_KOT7_2025,NEF_diam_KOT8_2025,NEF_diam_KOT9_2025,NEF_diam_LAU3_2025,NEF_diam_LAU6_2025,NEF_diam_LAU7_2025,NEF_diam_MAIBF_2025,NEF_diam_MAITF_2025,NEF_diam_MAT1_2025,NEF_diam_MRA_2025,NEF_diam_MTO_2025,NEF_diam_ORG0_2025,NEF_diam_ORG1_2025,NEF_diam_PAT_2025,NEF_diam_PMT11_2025,NEF_diam_PMT16_2025,NEF_diam_RB_2025,NEF_diam_REN1_2025,NEF_diam_REN2_2025,NEF_diam_REN3_2025,NEF_diam_ROR_2025,NEF_diam_SAM1_2025,NEF_diam_SAVINC1_2025,NEF_diam_SAVINC2_2025,NEF_diam_SF1_2025,NEF_diam_SF2_2025,NEF_diam_SP1_2025,NEF_diam_SP2_2025,NEF_diam_TP1_2025,NEF_diam_TP2_2025,NEF_diam_WAB1_2025,NEF_diam_WAB2_2025
BING_OTU_1,0,0,0,0,0,0,0,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,11498,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,39,18,0,0,731,0,43,7680,985,338,0,15,19,20
BING_OTU_2,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,112,1696,0,0,0,0,0,0,0,0,0,0,0,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,1880,170,205,41,0,2135,331,205,176,30,0,44,360,1223,10129,5900
BING_OTU_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,61,0,15,0,0,90,0,0,13,0,0,80,44,0,0,0
BING_OTU_5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,107,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4087,0,0,0,0,0,0,0,161,0,0,0,0,0,7296,3218,1562,1198,1467,1075,118,30,0,0
BING_OTU_6,0,0,0,0,0,15,0,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,23,47,36,0,0,0
BING_OTU_7,0,0,0,0,0,6,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0
BING_OTU_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,57,0,21,0,0
BING_OTU_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,4236,0,0,16,43,0,0,0,0
BING_OTU_10,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,154,35,0,0,0,0,0,0,0,0,0,0,0,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,37,86,274,591,0,258,3207,1325,1143,2292,1677,547,211,21,22,5
BING_OTU_11,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1714,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,1906,0,89,0,0,36,200,78,187,69,0,19,4059,927,667,2263
BING_OTU_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,0,0,0,0,0,0,0,0,1083,79,0,0,0,4666,3076,335,6,85,90,0,0,606,0
BING_OTU_13,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,32,117,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,13,4835,56,0,65,26,0,5,8,0,7,1046,890,2208,9
BING_OTU_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,29,0,0
BING_OTU_15,0,0,0,0,0,6,0,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,5,0,0,0,0,63,0,0,41,23,15,401,15,0,0,0
BING_OTU_16,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,6,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3104,2002,24,35,0,6,0,0
BING_OTU_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8928,0,0,0,0,0,0,0,0
BING_OTU_18,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,61,0,0,0,0,0,0,0,0,0,0,0,42,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,0,0,0,0,0,0,0,53,0,0,6,0,0,1571,401,1432,3255,755,208,106,51,37,0
BING_OTU_19,0,0,0,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2062,19,0,0,0,0,0,0,0,0,0,0,0,7,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,160,435,177,0,160,435,242,1223,1056,456,603,41,21,58,15
BING_OTU_20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,256,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,40,459,389,0,16,361,4329,1134,1022,174,643,28,6,0,0
BING_OTU_21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BING_OTU_22,0,0,0,0,0,0,0,179,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,78,22,0,0,0,0,0,0,0,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,51,42,27,0,34,111,25,154,62,166,265,31,10,77,0
BING_OTU_23,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,864,0,0,0,0,0,0,0,0,0,0,0,0,4,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,46,92,0,59,657,482,251,314,19,121,56,0,47,0
