OTU,X39,X41,X42,X44,X45,X46,X47,X48,X49,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X63,X64,X65,X66
1ac4b036cb0ffc3a9133ebfc4f51c5cb,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
b8788cc69358d23b1a7b4f17c0ebe02a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
f2f89f4fbb4606742b2b1f60dd129551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
d267e76f0a36af0e79d4909fcee9e7b5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92e21d2cbb38274c30c193fe41a91e26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
4fd1c11ac9e5fa9b11616f68731d1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0f2938c2e1aeaf608154fa9725bcf948,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59027a00c472efcfbecf170cc8acd357,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921f0a2db6f074ec601084273a251b68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
e71a966c8da2138059ac74d01f9f1a8f,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
c6f926b746ed14b8ab5bf1a1135fe580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
244552f9cf3b4cf0a20aff1784c568ef,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d780c59a83238e5a258ef44b7a3fde61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
b96b927112895dddfcdc152d748bba82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
d4b8db6cbe5252cc3d7073aa1e1d7648,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3efa64082961ec89df4601d48d2b2b39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abb4421b2c3efff22c73b337a0b43669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
a3d97828c0a1ef7635595169eaf7ee1e,0,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47e213fa6f46e8c11f3436c010ef034f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
c318ef2892245b47573e66c02fd1243c,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17aae4870652a1aeebdaf2deddb71365,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
877c96a70cf7275c12fc7104ddbfbb00,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f08f074db7838d2b3d7797b1b8515aee,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a9a0a6e75426054918bf701f34af088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
e9dcee4dca6316d19ea5101fc426a598,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
d65671de019a5126f9949052d00b4a3f,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5f44e2ea340ac5c896f570daaf3196f,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
44460dc4857e33b49de1d132d2860f44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
78137832f676f34131f90db005acc840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
447a35e837dff2bb9d5b803da09aae79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9b1ea24ecf5ad191d1a47c78a15fbfc,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
7155dc5e39a5e0e9bd408eb7004c3342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ec7e79b07aae0a5011c37fa1cffd8dd0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e8bb92b7abde4efe7b1a49c11501c58e,23,0,0,0,0,0,0,4,0,0,0,0,0,139,0,0,0,0,0,0,0,54,28,15
49472661983862b2711ae7a8917c88c8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
b893d7c9f3789d51a3b6df8721aa9c6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6dea50904fbd45d3b7c6004d58c085cc,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884b3269b680bd88bfbbb0b9a34f52d2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c6a2502cc8d20c9381ea42571e377486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3a5923b77950138a658ad450b18c149e,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
e1698b6a9bee02b72004be207604dccd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
4ca14b3a2e1065c69a2e82b36a73e4cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2cc3b38ba74acda600a9eb1f46aafee4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
d03c7f6c7c33922cb5534bbdd5fe612b,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0dc515671ba418dce5d5e6ae4d1efff7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
33c59790e804297e1c60a9092772e3db,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
