OTU,MXA_G5134,MXA_G5135,MXA_G5136,MXA_G5137,MXA_G5138,MXA_G5139,MXA_MX10,MXA_MX11,MXA_MX12,MXA_MX13,MXA_MX14,MXA_MX15,MXA_MX16,MXA_MX17,MXA_MX18,MXA_MX19,MXA_MX1a,MXA_MX20,MXA_MX21,MXA_MX22,MXA_MX23,MXA_MX24,MXA_MX25,MXA_MX26,MXA_MX27,MXA_MX28,MXA_MX29,MXA_MX2b,MXA_MX3,MXA_MX30,MXA_MX31,MXA_MX32,MXA_MX33,MXA_MX34,MXA_MX35,MXA_MX36,MXA_MX4,MXA_MX5,MXA_MX7,MXA_MX8,MXA_MX9,MXA_S036,MXA_S163,MXA_S164,MXA_S165,MXA_S529,MXA_S530,MXA_S531,MXA_S532,MXA_S657,MXA_S658,MXA_S659,MXA_S660,MXA_S661,MXA_S662,MXA_S663,MXA_S664,MXA_S665,MXA_S666,MXA_S907,MXA_S908N,MXA_S909,MXA_S910N,MXA_S911,MXA_S912,MXA_S913,MXA_S914,MXA_S915,MXA_S916,MXA_S917,MXA_S918,MXA_S919,MXA_S920
Aphelidiomycetes_sp_1_ceb9b11a22c2c53474a85acdd0898f19fd891330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_1_0148f3d176ed313841cb3ca4298188776760c255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_16_045e403ff2ea1c6111f233bd0e4262b058337920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_2_0f15751d9de6e028436fa75c332eb7b491abb0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_17_1abae4fbcbf41acc02e20fc2f8714933bdd624bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_15_36e9f451104f1b8c4df72aa8a9cc89d4ff0346d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_18_508235d325fa6afb03c769b4be389211defbbf14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aphelidiomycota_sp_3_5150e3032e309e4fe0fc1e870db5acc2c7e755d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aphelidiomycota_sp_4_61454e148acf3fe06bf79ff233a5d70baab00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_5_628da1e49697c88d01e683e31f92e79b14af6018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
